player_key,player_id,gamertag,first_name,last_name,country,game_title,role,org_name,region,date_of_birth,joined_date,annual_salary_usd,status
1,PLY0001,xXGhost45,Marcus,Silva,Brazil,Dota 2,Midlaner,Blaze Syndicate,ME,2006-04-05,2019-02-24,369785,Active
2,PLY0002,ProSnipr13,Peyton,Garcia,Germany,Dota 2,Midlaner,Sky Breakers,ME,2003-09-01,2018-04-19,309254,Inactive
3,PLY0003,BattlePeak45,Drew,Smith,Turkey,Valorant,Initiator,Neon Rush,EU,2005-10-30,2022-09-28,193389,Active
4,PLY0004,NightHawk21,Luca,Torres,Australia,League of Legends,Mid,Team Nova,LATAM,2001-11-09,2020-12-19,438167,Retired
5,PLY0005,StormBreak20,Sam,Hall,Japan,Rocket League,Midfielder,Sky Breakers,NA,2004-12-08,2022-01-21,317698,Active
6,PLY0006,ChaosRift20,Leon,Petrov,Egypt,Dota 2,Carry,Arctic Fox,APAC,2002-04-06,2021-02-12,252717,Active
7,PLY0007,SilentBlade95,Jamie,Park,France,League of Legends,Support,Blaze Syndicate,EU,2005-02-13,2019-12-02,295043,Active
8,PLY0008,ZeroHour91,Parker,Kim,Denmark,Dota 2,Offlaner,Lunar Raiders,NA,2006-08-14,2018-08-18,135087,Inactive
9,PLY0009,VoidKing37,Avery,Diaz,Nigeria,Fortnite,Solo,Echo Strike,LATAM,2005-05-08,2023-08-07,222425,Active
10,PLY0010,QuantumQ81,Blake,Müller,Japan,Rocket League,Midfielder,Shadow Protocol,LATAM,2004-07-22,2022-10-21,485717,Inactive
11,PLY0011,LightBend73,Drew,Müller,Germany,Valorant,Duelist,Arctic Fox,LATAM,1999-09-19,2019-10-18,430277,Retired
12,PLY0012,StormBreak86,Kai,Kim,UK,Rocket League,Midfielder,Echo Strike,ME,1998-02-17,2019-04-15,372412,Inactive
13,PLY0013,IronSight24,Luca,Anderson,France,Apex Legends,Fragger,Echo Strike,APAC,2003-02-02,2018-01-14,393584,Retired
14,PLY0014,LightBend23,Luca,Okafor,Egypt,Rocket League,Midfielder,Eclipse Gaming,EU,2003-09-11,2020-03-25,95131,Retired
15,PLY0015,LightBend10,Luca,Hall,Sweden,Fortnite,Duo,Echo Strike,APAC,1998-03-21,2019-04-04,205306,Active
16,PLY0016,BattlePeak20,Jordan,Petrov,Germany,Overwatch 2,Tank,Iron Wolf,EU,2006-07-13,2023-12-22,416517,Retired
17,PLY0017,AceStrike43,Quinn,Brown,Japan,Apex Legends,Fragger,Neon Rush,LATAM,2004-01-18,2020-04-03,388790,Retired
18,PLY0018,RiftRider76,Marcus,Park,UK,League of Legends,Jungle,Team Nova,ME,2000-07-09,2018-09-20,192254,Retired
19,PLY0019,QuantumQ10,Drew,Taylor,Germany,Valorant,Initiator,Eclipse Gaming,NA,1998-10-04,2018-05-09,465696,Retired
20,PLY0020,DarkFlame37,Drew,Diaz,Japan,CS2,Lurker,Titan Forge,LATAM,2004-06-18,2023-04-21,142400,Inactive
21,PLY0021,NightHawk94,Casey,Silva,Australia,Fortnite,Duo,Blaze Syndicate,NA,2002-08-11,2023-03-28,467899,Retired
22,PLY0022,NightHawk17,Marcus,Anderson,Australia,Fortnite,Solo,RedLine FC,LATAM,2000-10-15,2020-02-24,114724,Active
23,PLY0023,ZeroHour69,Cameron,Okafor,Brazil,League of Legends,Bot,Arctic Fox,ME,2004-03-04,2019-02-06,41522,Active
24,PLY0024,QuantumQ31,Kai,Hall,Australia,Overwatch 2,Damage,Team Nova,EU,2000-05-25,2022-07-01,488139,Inactive
25,PLY0025,ZeroHour68,Alex,Kim,France,Apex Legends,IGL,Sky Breakers,APAC,2006-03-12,2023-06-17,96158,Active
26,PLY0026,SwiftArrow17,Jordan,Taylor,Denmark,Fortnite,Solo,Echo Strike,ME,1998-07-25,2023-05-07,278638,Active
27,PLY0027,VoidKing33,Jordan,Williams,Germany,League of Legends,Jungle,Shadow Protocol,EU,2002-07-12,2019-05-07,481766,Retired
28,PLY0028,SkySlash20,Rowan,Novak,Australia,Fortnite,Duo,Neon Rush,LATAM,2000-04-16,2021-07-10,140140,Active
29,PLY0029,ChaosRift68,Leon,Anderson,Canada,League of Legends,Top,RedLine FC,EU,2003-02-21,2019-02-14,53409,Retired
30,PLY0030,NeonWolf18,Blake,Müller,Nigeria,Dota 2,Offlaner,Lunar Raiders,ME,2001-03-13,2019-10-09,244734,Retired
31,PLY0031,LightBend11,Taylor,Lee,Norway,Rocket League,Midfielder,Phantom eSports,NA,1999-03-01,2019-07-05,153656,Retired
32,PLY0032,ZeroHour46,Reese,Müller,Sweden,Dota 2,Offlaner,Vortex Union,APAC,2000-04-13,2020-12-17,279979,Active
33,PLY0033,CyberFox45,Kai,Anderson,USA,Valorant,Controller,Neon Rush,EU,2006-08-25,2019-06-20,349030,Retired
34,PLY0034,CyberFox81,Parker,Brown,USA,League of Legends,Top,Team Nova,APAC,2005-10-01,2019-09-03,301046,Retired
35,PLY0035,CyberFox26,Reese,Müller,USA,Rocket League,Goalkeeper,Eclipse Gaming,EU,2006-12-05,2018-06-13,486295,Retired
36,PLY0036,NightHawk55,Drew,Martin,Turkey,Apex Legends,IGL,Lunar Raiders,EU,2006-05-28,2019-09-26,139118,Active
37,PLY0037,xXGhost32,Omar,Garcia,Denmark,Fortnite,Duo,Iron Wolf,NA,2006-12-30,2020-10-13,154883,Inactive
38,PLY0038,DarkFlame38,Rayan,Novak,Brazil,Overwatch 2,Damage,Team Nova,EU,2001-06-04,2020-07-21,131876,Inactive
39,PLY0039,VoidKing45,Chris,Diaz,Canada,Apex Legends,IGL,Phantom eSports,APAC,2004-01-06,2021-09-18,29470,Active
40,PLY0040,ProSnipr23,Peyton,Diaz,Sweden,Apex Legends,Support,Shadow Protocol,ME,2006-03-04,2021-07-08,243796,Active
41,PLY0041,BattlePeak34,Avery,Young,France,Valorant,Sentinel,RedLine FC,EU,1998-01-07,2023-10-31,437843,Inactive
42,PLY0042,IronSight89,Cameron,Chen,Canada,League of Legends,Mid,StormClaw,APAC,2003-09-09,2021-06-20,364643,Inactive
43,PLY0043,SwiftArrow26,Ivan,Walker,Brazil,Apex Legends,IGL,Shadow Protocol,APAC,2002-04-02,2019-12-14,337707,Inactive
44,PLY0044,xXGhost48,Reese,Lewis,France,Dota 2,Support,Vortex Union,LATAM,2006-10-24,2021-08-12,258787,Retired
45,PLY0045,DarkFlame31,Casey,Williams,Norway,League of Legends,Mid,Lunar Raiders,EU,2003-10-13,2021-10-04,63961,Retired
46,PLY0046,SilentBlade28,Taylor,Petrov,USA,Valorant,Initiator,StormClaw,ME,2003-05-01,2018-10-26,253769,Active
47,PLY0047,StormBreak73,Ivan,Thompson,Australia,Dota 2,Midlaner,Titan Forge,NA,2005-05-11,2018-01-23,483010,Inactive
48,PLY0048,LightBend69,Drew,Okafor,USA,Dota 2,Carry,Vortex Union,ME,2003-02-13,2019-07-01,435173,Retired
49,PLY0049,RiftRider88,Rowan,Torres,Egypt,Apex Legends,IGL,Lunar Raiders,LATAM,2003-01-01,2019-10-14,404889,Inactive
50,PLY0050,QuantumQ91,Blake,Harris,France,Overwatch 2,Support,Phantom eSports,APAC,2000-09-06,2021-01-29,245619,Active
51,PLY0051,IronSight79,Blake,Torres,Germany,CS2,AWPer,Iron Wolf,EU,2000-08-05,2022-04-18,378829,Active
52,PLY0052,IronSight79,Cameron,Garcia,UK,Apex Legends,Fragger,Echo Strike,ME,2000-04-27,2022-09-17,219198,Retired
53,PLY0053,BattlePeak58,Alex,Robinson,UK,Valorant,Controller,Echo Strike,LATAM,2001-05-08,2022-05-17,462452,Retired
54,PLY0054,SwiftArrow87,Dmitri,White,Nigeria,Dota 2,Support,Vortex Union,NA,2000-06-17,2021-01-22,243503,Inactive
55,PLY0055,StormBreak31,Chris,Martin,Egypt,Overwatch 2,Tank,Echo Strike,LATAM,2004-12-23,2023-12-28,29138,Retired
56,PLY0056,xXGhost20,Peyton,Martin,Norway,Apex Legends,Fragger,Neon Rush,LATAM,2003-03-07,2020-01-15,41363,Inactive
57,PLY0057,IronSight53,Casey,Smith,Turkey,Apex Legends,Support,Lunar Raiders,NA,2006-06-08,2022-09-23,147262,Inactive
58,PLY0058,SwiftArrow16,Alex,White,Canada,Dota 2,Carry,Team Nova,EU,2006-10-05,2018-06-14,410435,Active
59,PLY0059,SkySlash29,Jin,Stone,Brazil,CS2,IGL,Sky Breakers,LATAM,2005-07-05,2019-04-14,310682,Retired
60,PLY0060,NeonWolf31,Blake,Harris,Sweden,League of Legends,Jungle,Team Nova,APAC,2001-06-28,2019-03-19,318397,Retired
61,PLY0061,StormBreak60,Leon,Hall,Denmark,Dota 2,Carry,Blaze Syndicate,APAC,2004-08-22,2020-09-21,68425,Retired
62,PLY0062,NightHawk82,Rowan,Clark,Turkey,Valorant,Controller,Eclipse Gaming,NA,2003-12-23,2022-10-21,361827,Retired
63,PLY0063,xXGhost63,Marcus,Torres,Egypt,Overwatch 2,Tank,Echo Strike,LATAM,2002-11-11,2022-01-23,348229,Retired
64,PLY0064,AceStrike76,Riley,Garcia,Norway,Rocket League,Midfielder,StormClaw,ME,2004-01-14,2023-06-04,258727,Inactive
65,PLY0065,QuantumQ21,Chris,Robinson,France,Overwatch 2,Tank,Shadow Protocol,LATAM,2006-06-01,2023-03-19,313765,Inactive
66,PLY0066,IronSight33,Alex,Johnson,UK,Dota 2,Offlaner,Neon Rush,ME,2006-12-12,2020-11-24,193435,Retired
67,PLY0067,SwiftArrow11,Omar,Diaz,Japan,Dota 2,Carry,RedLine FC,EU,2000-09-15,2022-07-23,271155,Retired
68,PLY0068,DarkFlame67,Quinn,Anderson,Turkey,Valorant,Duelist,Blaze Syndicate,EU,2001-04-20,2020-06-26,227022,Inactive
69,PLY0069,NeonWolf70,Leon,Taylor,Japan,Fortnite,Duo,Blaze Syndicate,LATAM,2006-05-14,2021-09-16,199450,Inactive
70,PLY0070,QuantumQ25,Taylor,Diaz,Denmark,Dota 2,Offlaner,Sky Breakers,LATAM,1999-05-05,2020-01-29,115422,Inactive
71,PLY0071,LightBend86,Dmitri,Taylor,France,League of Legends,Jungle,Iron Wolf,APAC,2001-04-28,2020-07-20,204205,Active
72,PLY0072,BlitzMax45,Ivan,Brown,USA,Valorant,Controller,Lunar Raiders,LATAM,2005-10-27,2019-06-02,349427,Active
73,PLY0073,BattlePeak46,Rayan,Stone,UK,Overwatch 2,Damage,Neon Rush,LATAM,2001-10-27,2020-01-26,41936,Active
74,PLY0074,StormBreak72,Jin,Chen,Germany,Valorant,Initiator,Sky Breakers,NA,1999-09-04,2021-05-29,59659,Retired
75,PLY0075,SkySlash86,Luca,Garcia,Turkey,Dota 2,Hard Support,Vortex Union,APAC,2002-04-08,2023-01-20,491317,Retired
76,PLY0076,BattlePeak89,Cameron,Walker,USA,League of Legends,Jungle,Arctic Fox,NA,2005-01-06,2020-05-14,153750,Active
77,PLY0077,SwiftArrow19,Drew,Okafor,South Korea,Valorant,Sentinel,Team Nova,EU,2003-01-20,2023-04-09,167703,Inactive
78,PLY0078,RiftRider19,Ivan,Walker,Norway,Dota 2,Offlaner,Phantom eSports,ME,2006-11-01,2020-03-21,237895,Active
79,PLY0079,ZeroHour28,Marcus,Müller,Germany,Valorant,Initiator,Blaze Syndicate,ME,2006-11-21,2021-06-13,326974,Inactive
80,PLY0080,RiftRider98,Parker,Silva,France,Apex Legends,Support,Phantom eSports,ME,2003-08-12,2023-07-16,244511,Active
81,PLY0081,IronSight87,Omar,Garcia,France,Valorant,Duelist,Arctic Fox,APAC,2000-07-26,2018-03-26,415954,Retired
